tp_pct,sl_pct,trades,tp_hits,sl_hits,eod,avg_underlying_pnl,median_underlying_pnl,avg_minutes_to_exit,tp_rate,sl_rate,avg_pnl_3x_pct,avg_pnl_5x_pct,avg_pnl_7x_pct,avg_pnl_10x_pct
20.0,5.0,7,0,1,6,5.770003177249499,6.655337130259049,776.5825595238094,0.0,0.14285714285714285,17.310009531748495,28.850015886247494,40.39002224074649,57.70003177249499
12.0,5.0,7,1,1,5,5.690883754384514,6.655337130259049,765.4464761904762,0.14285714285714285,0.14285714285714285,17.072651263153542,28.454418771922573,39.8361862806916,56.908837543845145
10.0,3.0,7,1,1,5,5.690883754384513,6.655337130259049,755.8024380952381,0.14285714285714285,0.14285714285714285,17.07265126315354,28.45441877192257,39.83618628069159,56.90883754384514
6.0,7.000000000000001,7,6,0,1,5.550761421319799,6.0000000000000036,455.7856952380953,0.8571428571428571,0.0,16.652284263959398,27.753807106598995,38.855329949238595,55.50761421319799
10.0,4.0,7,1,1,5,5.548026611527371,6.655337130259049,758.4932452380953,0.14285714285714285,0.14285714285714285,16.644079834582115,27.740133057636854,38.8361862806916,55.48026611527371
10.0,5.0,7,1,1,5,5.405169468670228,6.655337130259049,759.641569047619,0.14285714285714285,0.14285714285714285,16.215508406010684,27.02584734335114,37.83618628069159,54.05169468670228
8.0,3.0,7,4,1,2,5.2757882741661914,7.99999999999999,558.0731047619048,0.5714285714285714,0.14285714285714285,15.827364822498573,26.378941370830958,36.93051791916334,52.757882741661916
8.0,4.0,7,4,1,2,5.13293113130905,7.99999999999999,560.7639119047619,0.5714285714285714,0.14285714285714285,15.39879339392715,25.66465565654525,35.93051791916335,51.3293113130905
8.0,5.0,7,4,1,2,4.990073988451906,7.99999999999999,561.9122357142858,0.5714285714285714,0.14285714285714285,14.970221965355718,24.950369942259528,34.93051791916334,49.900739884519055
7.000000000000001,3.0,7,4,1,2,4.704359702737628,7.0000000000000036,545.557788095238,0.5714285714285714,0.14285714285714285,14.113079108212885,23.52179851368814,32.9305179191634,47.04359702737628
5.0,7.000000000000001,7,6,0,1,4.693618564176942,5.000000000000003,398.20781428571433,0.8571428571428571,0.0,14.080855692530827,23.468092820884713,32.855329949238595,46.93618564176943
7.000000000000001,4.0,7,4,1,2,4.561502559880486,7.0000000000000036,548.2485952380952,0.5714285714285714,0.14285714285714285,13.684507679641458,22.80751279940243,31.9305179191634,45.61502559880486
7.000000000000001,5.0,7,4,1,2,4.418645417023343,7.0000000000000036,549.396919047619,0.5714285714285714,0.14285714285714285,13.255936251070029,22.093227085116713,30.9305179191634,44.186454170233425
6.0,3.0,7,5,1,1,4.265047135605512,6.000000000000003,430.8546690476191,0.7142857142857143,0.14285714285714285,12.795141406816535,21.32523567802756,29.85532994923858,42.65047135605512
6.0,4.0,7,5,1,1,4.122189992748369,6.000000000000003,433.5454761904762,0.7142857142857143,0.14285714285714285,12.366569978245108,20.610949963741845,28.855329949238588,41.22189992748369
4.0,7.000000000000001,7,7,0,0,4.000000000000003,4.000000000000003,312.7976547619047,1.0,0.0,12.000000000000007,20.000000000000014,28.000000000000018,40.00000000000003
6.0,5.0,7,5,1,1,3.9793328498912257,6.000000000000003,434.6938,0.7142857142857143,0.14285714285714285,11.937998549673678,19.89666424945613,27.85532994923858,39.79332849891226
5.0,3.0,7,5,1,1,3.5507614213197973,5.000000000000003,378.2549357142857,0.7142857142857143,0.14285714285714285,10.652284263959391,17.753807106598988,24.85532994923858,35.507614213197975
5.0,4.0,7,5,1,1,3.407904278462655,5.000000000000003,380.9457428571428,0.7142857142857143,0.14285714285714285,10.223712835387964,17.039521392313276,23.855329949238584,34.07904278462655
10.0,1.5,7,0,3,4,3.3229997586809747,2.8553299492385635,514.3128166666667,0.0,0.42857142857142855,9.968999276042924,16.614998793404872,23.260998310766823,33.229997586809745
12.0,1.5,7,0,3,4,3.3229997586809747,2.8553299492385635,514.3128166666667,0.0,0.42857142857142855,9.968999276042924,16.614998793404872,23.260998310766823,33.229997586809745
15.0,1.5,7,0,3,4,3.3229997586809747,2.8553299492385635,514.3128166666667,0.0,0.42857142857142855,9.968999276042924,16.614998793404872,23.260998310766823,33.229997586809745
20.0,1.5,7,0,3,4,3.3229997586809747,2.8553299492385635,514.3128166666667,0.0,0.42857142857142855,9.968999276042924,16.614998793404872,23.260998310766823,33.229997586809745
5.0,5.0,7,5,1,1,3.265047135605511,5.000000000000003,382.09406666666666,0.7142857142857143,0.14285714285714285,9.795141406816533,16.325235678027553,22.855329949238577,32.65047135605511
8.0,1.5,7,3,3,1,3.19361856417694,2.8553299492385635,340.2052095238096,0.42857142857142855,0.42857142857142855,9.58085569253082,15.968092820884701,22.35532994923858,31.936185641769402
10.0,2.0,7,0,3,4,3.1087140443952554,2.8553299492385635,517.3228738095238,0.0,0.42857142857142855,9.326142133185765,15.543570221976278,21.760998310766787,31.087140443952556
12.0,2.0,7,0,3,4,3.1087140443952554,2.8553299492385635,517.3228738095238,0.0,0.42857142857142855,9.326142133185765,15.543570221976278,21.760998310766787,31.087140443952556
15.0,2.0,7,0,3,4,3.1087140443952554,2.8553299492385635,517.3228738095238,0.0,0.42857142857142855,9.326142133185765,15.543570221976278,21.760998310766787,31.087140443952556
20.0,2.0,7,0,3,4,3.1087140443952554,2.8553299492385635,517.3228738095238,0.0,0.42857142857142855,9.326142133185765,15.543570221976278,21.760998310766787,31.087140443952556
3.0,7.000000000000001,7,7,0,0,3.000000000000002,3.0000000000000013,231.87044047619048,1.0,0.0,9.000000000000007,15.00000000000001,21.000000000000014,30.00000000000002
4.0,3.0,7,6,1,0,3.000000000000001,4.000000000000002,293.56812619047616,0.8571428571428571,0.14285714285714285,9.000000000000004,15.000000000000004,21.000000000000007,30.000000000000007
8.0,2.0,7,3,3,1,2.979332849891221,2.8553299492385635,343.21526666666665,0.42857142857142855,0.42857142857142855,8.937998549673662,14.896664249456105,20.855329949238545,29.79332849891221
10.0,2.5,7,0,3,4,2.894428330109544,2.8553299492385635,523.8579523809524,0.0,0.42857142857142855,8.683284990328632,14.472141650547721,20.26099831076681,28.944283301095442
12.0,2.5,7,0,3,4,2.894428330109544,2.8553299492385635,523.8579523809524,0.0,0.42857142857142855,8.683284990328632,14.472141650547721,20.26099831076681,28.944283301095442
15.0,2.5,7,0,3,4,2.894428330109544,2.8553299492385635,523.8579523809524,0.0,0.42857142857142855,8.683284990328632,14.472141650547721,20.26099831076681,28.944283301095442
20.0,2.5,7,0,3,4,2.894428330109544,2.8553299492385635,523.8579523809524,0.0,0.42857142857142855,8.683284990328632,14.472141650547721,20.26099831076681,28.944283301095442
4.0,4.0,7,6,1,0,2.857142857142859,4.000000000000002,296.25893333333335,0.8571428571428571,0.14285714285714285,8.571428571428577,14.285714285714295,20.000000000000014,28.57142857142859
7.000000000000001,1.5,7,3,3,1,2.7650471356055175,2.8553299492385635,328.32749285714283,0.42857142857142855,0.42857142857142855,8.295141406816553,13.825235678027587,19.355329949238623,27.650471356055174
8.0,2.5,7,3,3,1,2.7650471356055095,2.8553299492385635,349.75034523809524,0.42857142857142855,0.42857142857142855,8.295141406816528,13.825235678027548,19.355329949238566,27.650471356055096
4.0,5.0,7,6,1,0,2.7142857142857153,4.000000000000002,297.4072571428572,0.8571428571428571,0.14285714285714285,8.142857142857146,13.571428571428577,19.000000000000007,27.142857142857153
7.000000000000001,2.0,7,3,3,1,2.550761421319798,2.8553299492385635,331.33755,0.42857142857142855,0.42857142857142855,7.652284263959395,12.753807106598991,17.855329949238588,25.507614213197982
6.0,1.5,7,3,3,1,2.3364757070340896,2.8553299492385635,292.53568333333334,0.42857142857142855,0.42857142857142855,7.009427121102268,11.682378535170448,16.355329949238627,23.364757070340897
